IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\001.jpg,Delirious New York,Delirious-New-York,oma.eu,1978,Publication,Publication,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\002.jpg,Dutch Parliament Extension,Dutch-Parliament-Extension,oma.eu,1978,Project,Competition,Office,,TRUE,,Zaha Hadid,Richard Perlemutter,Ron Steiner,Elias Veneris,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\003.jpg,Irish Prime Minister's Residence,Irish-Prime-Minister's-Residence,oma.eu,1979,Project,Competition,Office,,TRUE,,Alan Forster,Stefano de Martino,Ron Steiner,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\004.jpg,Boompjes,Boompjes,oma.eu,1980,Project,Commissioned Study,Residential,,TRUE,,Kees Christiaanse,Gerard Comello,Stefano de Martino,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\005.jpg,Kochstrasse / Friedrichstrasse Housing,Kochstrasse-Friedrichstrasse-Housing,oma.eu,1980,Project,Competition,Residential,,TRUE,,Herman de Kovel,Stefano de Martino,Richard Perlemutter,Ricardo Simonini,Ron Steiner,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\006.jpg,Koepel Panopticon Prison,Koepel-Panopticon-Prison,oma.eu,1980,Project,Commissioned Study,Infrastructure,,TRUE,,Mike Guyer,Thijs de Haan,Vahé Kalousdian,Brigitte Kochta,Victor Mani,Luc Reuse,Georg Ritschl,Karin Rühle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\007.jpg,Lützowstrasse Housing,Lützowstrasse-Housing,oma.eu,1980,Project,Competition,Residential,,FALSE,,Norman Chang,Omri Eytan,Katerina Galani,Andreas Kourkoulas,Batsheva Ronen,Ricardo Simonini,Ron Steiner,Katerina Tsigaridas,Alex Wall,Zoe Zenghelis,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\008.jpg,Parc de la Villette,Parc-de-la-Villette,oma.eu,1982,Project,Competition,Landscape,,TRUE,,Kees Christiaanse,Stefano de Martino,Ruurd Roorda,Ron Steiner,Jan Voorberg,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\009.jpg,Exposition Universelle,Exposition-Universelle,oma.eu,1983,Project,Design Development,Masterplan,,TRUE,,Kees Christiaanse,Stefano de Martino,Willem-Jan Neutelings,Ron Steiner,Alex Wall,Elia Zenghelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\010.jpg,Churchillplein,Churchillplein,oma.eu,1984,Project,Competition,Office,,TRUE,,Kees Christiaanse,Jaap van Heest,Götz Keller,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
