DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
1990s,0.0,"['Floris Alkemade', 'Frans Blok', 'Christophe Cornubert', 'Anne Mie Depuydt', 'Christine Enzmann', 'Winy Maas', 'Farshid Moussavi', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Zac Danton,1991,Project,Design Development,Office,True,Floris Alkemade,Frans Blok,Christophe Cornubert,Anne Mie Depuydt,Christine Enzmann,Winy Maas,Farshid Moussavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.333333333333,"['Floris Alkemade', 'Donald van Dansik', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Euralille,1994,Project,Completed,Masterplan,True,Floris Alkemade,Donald van Dansik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Hernando Arrazola', 'Gary Bates', 'Petra Blaisse', 'Gro Bonesmo', 'John Dehart', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Miami Performing Arts Center,1994,Project,Competition,Theatre,True,Floris Alkemade,Hernando Arrazola,Gary Bates,Petra Blaisse,Gro Bonesmo,John Dehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Frans Blok', 'Gro Bonesmo', 'Abigail Hopkins', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Tate Modern,1994,Project,Competition,Museum / Gallery,True,Floris Alkemade,Frans Blok,Gro Bonesmo,Abigail Hopkins,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Rinske van Ramshorst', 'Joshua Ramus', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",MCA Masterplan,1995,Project,Design Development,Masterplan,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Rinske van Ramshorst,Joshua Ramus,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Tom Bergevoet', 'Frans Blok', 'Gro Bonesmo', 'Catherine Lassen', 'Christos Marcopoulos', 'Ole Scheeren', 'Sanna Schuiling', 'Enno Stemerding', 'Jeroen Thomas', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Luxor Theatre,1996,Project,Competition,Theatre,True,Floris Alkemade,Tom Bergevoet,Frans Blok,Gro Bonesmo,Catherine Lassen,Christos Marcopoulos,Ole Scheeren,Sanna Schuiling,Enno Stemerding,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.333333333333,"['Floris Alkemade', 'Gary Bates', 'Frans Blok', 'Gro Bonesmo', 'Xavier Calder\xc3\xb3n', 'Minsuk Cho', 'Thorsten Deckler', 'Sarah Dun', 'Wilfried Hackenbroich', 'Kohei Kashimoto', 'Mike Magner', 'Oleg Nikolaevski', 'Domenico Raimondo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Togok Towers,1996,Project,Commissioned Study,Mixed use,True,Floris Alkemade,Gary Bates,Frans Blok,Gro Bonesmo,Xavier Calderón,Minsuk Cho,Thorsten Deckler,Sarah Dun,Wilfried Hackenbroich,Kohei Kashimoto,Mike Magner,Oleg Nikolaevski,Domenico Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Joshua Prince-Ramus', 'Rinske van Ramshorst', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', 'Olga Aleksakova', 'Eliot Bu', 'Xavier Calder\xc3\xb3n', 'Robert Choeff', 'Bert Karel Deuten', 'Keith Donnelley', 'Robert Donnelly', 'Chris van Duijn', 'Chris van Duijn', 'Sarah Dun', 'Mark Eacott', 'Piet Eckert', 'Erez Ella', 'Keren Engelman', 'Rogier van Est', 'Anne Filson', 'Adrianne Fisher', 'Adrianne Fisher', 'Bruce Fisher', 'Pedro Costa Gama', 'Mark Guinand', 'Wilfried Hackenbroich', 'Reinier Hermes', 'Matthias Hollwich', 'Jens Holm', 'Andreas Huhn', 'Anna Jacinto', 'Kohei Kashimoto', 'Anna Kling', 'Antti Lassila', 'Anna Little', 'Ellen van Loon', 'Rob de Maat', 'Beth Margulis', 'Mark McVay', 'Oliver Michell', 'Christian M\xc3\xbcller', 'Shawn Mulligan', 'Oleg Nikolaevski', 'Daan Ooievaar', 'Ala Pratt', 'Bill Price', 'Bill Price', 'Joshua Prince-Ramus', 'Joshua Prince-Ramus', 'Markus Randler', 'Gerald Rogers', 'Fernando Romero', 'Erik Schotte', 'Florian Seidel', 'Shohei Shigematsu', 'Ann Shih', 'Peer Sievers', 'Isabel da Silva', 'Isabel da Silva', 'Galia Solomonoff', 'Ilkka Tarkkanen', 'Lucien Tinga', 'Olivier Touraine', 'Jan Vermeulen', 'Leonard Weil', 'Bernard Wolff', 'Dan Wood', 'Marco Zurn']",Universal Headquarters,1996,Project,Commissioned Study,Office,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Joshua Prince-Ramus,Rinske van Ramshorst,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,Olga Aleksakova,Eliot Bu,Xavier Calderón,Robert Choeff,Bert Karel Deuten,Keith Donnelley,Robert Donnelly,Chris van Duijn,Chris van Duijn,Sarah Dun,Mark Eacott,Piet Eckert,Erez Ella,Keren Engelman,Rogier van Est,Anne Filson,Adrianne Fisher,Adrianne Fisher,Bruce Fisher,Pedro Costa Gama,Mark Guinand,Wilfried Hackenbroich,Reinier Hermes,Matthias Hollwich,Jens Holm,Andreas Huhn,Anna Jacinto,Kohei Kashimoto,Anna Kling,Antti Lassila,Anna Little,Ellen van Loon,Rob de Maat,Beth Margulis,Mark McVay,Oliver Michell,Christian Müller,Shawn Mulligan,Oleg Nikolaevski,Daan Ooievaar,Ala Pratt,Bill Price,Bill Price,Joshua Prince-Ramus,Joshua Prince-Ramus,Markus Randler,Gerald Rogers,Fernando Romero,Erik Schotte,Florian Seidel,Shohei Shigematsu,Ann Shih,Peer Sievers,Isabel da Silva,Isabel da Silva,Galia Solomonoff,Ilkka Tarkkanen,Lucien Tinga,Olivier Touraine,Jan Vermeulen,Leonard Weil,Bernard Wolff,Dan Wood,Marco Zurn,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Stephanie Bender', 'Frans Blok', 'Xavier Calder\xc3\xb3n', 'Grace SukChing Cheung', 'Donald van Dansik', 'Claudia Dias', 'Chris van Duijn', 'Tobias Fehr', 'Udo Garritzmann', 'Verena Haydin', 'Reiner Hermes', 'Young-Joon Kim', 'Andrea Marlia', 'Philip Oswalt', ""Jaakko van't Spijker"", 'Dong Ky Than', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Hanoi New Town Masterplan,1997,Project,Commissioned Study,Masterplan,True,Floris Alkemade,Stephanie Bender,Frans Blok,Xavier Calderón,Grace SukChing Cheung,Donald van Dansik,Claudia Dias,Chris van Duijn,Tobias Fehr,Udo Garritzmann,Verena Haydin,Reiner Hermes,Young-Joon Kim,Andrea Marlia,Philip Oswalt,Jaakko van't Spijker,Dong Ky Than,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
1990s,0.0,"['Floris Alkemade', 'Gary Bates', 'Reinier de Graaf', 'Mark McVeigh', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Mercedes Office Village,1997,Project,Commissioned Study,Masterplan,True,Floris Alkemade,Gary Bates,Reinier de Graaf,Mark McVeigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floris Alkemade,Projects-08,19
